Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Patients of enrolled providers aged 15-65 years
* Presenting for preventive care (i.e., well-woman exam, sexually transmitted infection testing, pre-conception counseling, or birth control).

Exclusion Criteria:

* Pregnant and has established prenatal care, i.e., visit is for prenatal care
* Non-English or non-Spanish speaking
* Living with HIV
* Unable to complete the eHxForm",https://clinicaltrials.gov/ct2/show/NCT05412433,NCT05412433,CHIPPER,RECRUITING,2022-10-03,"HIV Prevention, Primary Care, PrEP","Patient Level, Multilevel, Control",Baltimore - United States,2027-07-31,2022-06-09,2024-02-26,INTERVENTIONAL,NA
"Inclusion Criteria:

* Any patient who is undergoing endoscopic retrograde cholangiopancreatography (ERCP) at any of the participating centers, is at least 18 years old and provides informed consent can be included in the study.

Exclusion Criteria:

* Unwillingness or inability to consent for the study.
* Pregnancy
* Breastfeeding mother
* Chronic calcific pancreatitis
* ERCP for biliary stent exchange or removal
* ERCP in a patient with prior biliary sphincterotomy, but without anticipated pancreatogram.
* Biliary intervention in a patient with pancreas divisum.
* Standard contraindications to tacrolimus or NSAID use.
* Current tacrolimus or immune modulator use.
* Chronic kidney disease with glomerular filtration rate (GFR) \< 30 or acute kidney injury.
* Absence of rectum.
* Acute pancreatitis within 30 days of ERCP.
* Pancreatic head malignancy.
* Sphincter of Oddi dysfunction (Type 3).",https://clinicaltrials.gov/ct2/show/NCT05252754,NCT05252754,INTRO,RECRUITING,2023-01-18,Post-ERCP Acute Pancreatitis,"Tacrolimus capsule, Placebo, Rectal Indomethacin","Baltimore - United States, Hyderabad - India, Kolkata - India, Chandigarh - India, Singapore - Singapore",2026-12,2022-02-23,2024-12-18,INTERVENTIONAL,PHASE3
"Inclusion Criteria:

* Diagnosis of asthma
* Under a provider's care for asthma
* Prescribed daily inhaled corticosteroids (by metered dose inhaler \[MDI\]) at least 2 times a day
* Speaks English
* Otherwise in good general health

Exclusion Criteria:

N/A",https://clinicaltrials.gov/ct2/show/NCT00233233,NCT00233233,Unknown,COMPLETED,2002-08,"Lung Diseases, Asthma",Standardized Asthma Education Program,Baltimore - United States,2005-05,2005-10-05,2017-12-13,INTERVENTIONAL,NA
"Inclusion Criteria:

* Age: 18-75
* Fluent in English
* Normal or corrected-to-normal vision
* Able to participate in study activities
* Passed Johns Hopkins Medicine Outpatient Office COVID-19 screening checklist within 24 hours of study visit.

Exclusion Criteria:

* Hospitalization for heart failure, stroke or major cardiac event (myocardial infarction) within past 3 months.
* History of chest pain during exercise (angina).
* High blood pressure needing more than 1 medication for treatment.
* Blood pressure at rest exceeding systolic blood pressure (SBP) 150 millimeters of Mercury (mmHg), diastolic blood pressure (DBP) 100 mmHg.
* Heart rate at rest exceeding 100 beats per minute (bpm).
* Abnormal ECG, indwelling pacemaker or cardiac defibrillator.
* Home oxygen prescription.
* Women who or are pregnant or suspect they may be pregnant.",https://clinicaltrials.gov/ct2/show/NCT04820387,NCT04820387,Unknown,ACTIVE_NOT_RECRUITING,2021-04-20,"Telemedicine, Physiology",No interventions listed,Baltimore - United States,2025-09,2021-03-29,2024-10-09,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Individual with Marfan syndrome consented in to the Main Atenolol Vs. Losartan NIH study.

Exclusion Criteria:

* Subjects in the main PHN Marfan trial who have not achieved the maintenance drug dosing or who have stopped taking study drug.",https://clinicaltrials.gov/ct2/show/NCT01361087,NCT01361087,Unknown,WITHDRAWN,2011-04,Marfan Syndrome,Blood draw,Chicago - United States,2014-12,2011-05-26,2016-02-05,INTERVENTIONAL,PHASE3
"Inclusion Criteria:

* Patients with gastroparesis confirmed with symptoms and a gastric emptying study.
* Inability to maintain adequate caloric intake by standard dietary measures for gastroparesis due to gastrointestinal symptoms

Exclusion Criteria:

* Recent diagnosis of disorder other than gastroparesis that could affect food intake
* Oropharyngeal dysphagia or other condition with risk for aspiration from oral ingestion.
* Allergic reactions to any of the ingredients of the nutritional drink
* Current pregnancy. Pregnancy status will be determined by questioning the potential subject.
* Patient with gastrostomy/jejunostomy tube feeds or on total parenteral nutrition
* Currently taking any anti-coagulant",https://clinicaltrials.gov/ct2/show/NCT03500354,NCT03500354,Unknown,WITHDRAWN,2019-05-10,Gastroparesis,Nutrient drink,"Baltimore - United States, Baltimore - United States",2024-01,2018-04-18,2023-03-13,INTERVENTIONAL,NA
"Inclusion Criteria:

* 18 years of age
* Histologic proof of primary diagnosis of head and neck cancer
* Follow routinely with primary care doctor/general practitioner as evidenced by proof of appointment within the last 24 months)
* Ability to understand English in order to understand instructions and complete questionnaires
* Willing to participate in the supervised exercise intervention
* In the planning stages of/or actively receiving IMRT
* Must sign study-specific informed consent
* Medical clearance by attending physician

Exclusion Criteria:

* Evidence of distant metastasis prior to enrollment
* Simultaneous primaries or unknown primary
* Medical conditions that would prohibit the safe implementation of a an aerobic exercise practice per ACSM guidelines: cardiovascular disease, pulmonary disease, metabolic disease, or renal disease or signs/symptoms suggestive of cardiovascular disease at rest or during activity which include pain, discomfort in the chest, neck (other than caused by malignancy), jaw, arms, or other areas that may result from ischemia; shortness of breath at rest or with mild exertion; dizziness or syncope; orthopnea or paroxysmal nocturnal dyspnea; ankle edema; palpitations or tachycardia; intermittent claudication; known heart murmur; or unusual fatigue or shortness of breath with usual activities
* An answer of ""no"" on any of the Physical Activity Readiness Questionnaire (PAR-Q+) screening questions
* Pregnant or lactating women",https://clinicaltrials.gov/ct2/show/NCT04679233,NCT04679233,Unknown,WITHDRAWN,2021-02,"Head and Neck Neoplasm, Radiotherapy",Prescription aerobic exercise,Baltimore - United States,2021-06,2020-12-22,2022-02-24,INTERVENTIONAL,NA
"Inclusion Criteria:

* aged 18-55
* currently enrolled in methadone maintenance program

Exclusion Criteria:

* history of: a severe medical or psychiatric condition (except substance abuse; e.g., schizophrenia); brain trauma affecting cognitive functioning
* prior experience with meditation",https://clinicaltrials.gov/ct2/show/NCT01827033,NCT01827033,Unknown,TERMINATED,2013-03,Meditation Training,meditation training,Baltimore - United States,2013-06,2013-04-09,2015-09-16,INTERVENTIONAL,NA
"Inclusion Criteria:

* Age 70 and older
* Non-institutionalized
* High risk for falling, defined by a 'yes' response to at least one of the following:
* 1. Have you fallen and hurt yourself in the past year?
* 2. Have you fallen 2 or more times in the past year?
* 3. Are you afraid that you might fall because of balance or walking problems?
* 4. Do you have difficulty maintaining your balance when bathing, dressing, or getting in and out of a chair?
* 5. Do you use a cane, walker, or other device when walking inside or outside your home?
* Serum vitamin D \[25(OH)D\] level of 10-29 ng/ml
* Able to provide informed consent
* Willing to accept randomization to each vitamin D dose
* One of the following:
* 1. No vitamin D supplementation at baseline
* 2. Average daily vitamin D supplementation judged by study staff as being consistent with the goal of 1000 IU/day or less at screening and willing to continue the dose unchanged throughout the trial
* One of the following:
* 1. No calcium supplementation at baseline
* 2. Average daily calcium supplementation judged by study staff as being consistent with the goal of 1200 mg/day or less at screening and willing to continue the dose unchanged throughout the trial

Exclusion Criteria:

* Cognitive impairment, defined by Mini-Mental State Exam (MMSE) score \<24
* Hypercalcemia, serum Ca++ 11.0 mg/dl or higher or \>10.5 mg/dl (confirmed)
* Hypocalcemia, serum Ca++ \<8.5 mg/dl
* Kidney, ureteral, or bladder stones made of calcium compounds (2 or more in lifetime, or 1 in the last 2 years); in the absence of information on the type of stone, stones will be assumed to be made of calcium compounds
* Planning to move out of area within 2 years, where plans would prevent compliance with the study protocol
* Disease or condition expected to cause death or to prevent compliance with the study protocol in the next 2 years
* Participation in another trial of vitamin D or falls, or any trial that might affect the risk of falls
* Lactose allergy (lactose intolerance is okay)
* Use of any form of oral or injected calcitriol (brand names: Rocaltrol (R), Calcijex (R), and Zemplar (R); generic names: calcitriol, paricalcitol, doxycalcitriol, 22-oxacalcitriol)",https://clinicaltrials.gov/ct2/show/NCT02166333,NCT02166333,STURDY,TERMINATED,2015-06-30,"Vitamin D Deficiency, Falls","200 IU/d cholecalciferol, 1000 IU/d cholecalciferol, 2000 IU/d cholecalciferol, 4000 IU/d cholecalciferol","Baltimore - United States, Hagerstown - United States",2019-05-31,2014-06-18,2021-05-14,INTERVENTIONAL,NA
"Inclusion Criteria:

* All gender expressions
* Mothers at 1 or 3 months postpartum (± 2 weeks)
* Intent to exclusively breastfeed for ≥ 6 months
* Nulliparous and singleton births
* Receiving only breast milk from the mother, with no formula supplementation

Exclusion Criteria:

* Physical, mental, or cognitive disability that prevents participation; current incarceration
* Chronic conditions in mother and/or infant (e.g., heart disease, cancer, autoimmune disease, diabetes, intestinal bowel syndrome/disease), conditions diagnosed for the first time during pregnancy (e.g. gestational diabetes), neurological conditions in mother and/or infant (e.g. epilepsy, seizures), psychological conditions in mother and/or infant (e.g. bipolar disorder), or neurological/psychological conditions diagnosed in mother during or immediately after pregnancy (e.g. postpartum depression)
* Previously diagnosed with any major illness (e.g., intrauterine growth restriction, birth asphyxia, cancer) or eating disorder or previous gastric band surgery
* Maternal antibiotic use during pregnancy or the postpartum period. Infant antibiotic use at any time during life or taking medications that could affect plastic exposure or the microbiome, such as medications administered via a plastic syringe.
* Use of any breast pump except the Silicon Breast Pump for the 14 days prior to the clinical visit.
* PHQ9 score greater than or equal to 10 indicating clinically relevant symptoms of moderate or worse depression
* Infants who are intersex
* Smoking, drug use (including marijuana use), or alcohol abuse",https://clinicaltrials.gov/ct2/show/NCT06107933,NCT06107933,DIMPLE,RECRUITING,2023-10-01,"Infant Development, Breast Feeding, Environmental Exposure",Observational only,Baltimore - United States,2025-06-01,2023-10-30,2025-01-14,OBSERVATIONAL,Not Available
"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

* Diagnosis of severe autoimmune hematologic disease Autoimmune hemolytic anemia OR Immune thrombocytopenia
* Failure of at least 2 standard treatment approaches (e.g., prednisone therapy, splenectomy, intravenous immunoglobulin, or other immunosuppressants)
* Inability to taper prednisone dose to less than 10 mg/day OR Autoimmune neutropenia including the following: Felty's syndrome OR Disorders of large granular lymphocytes with recurrent infections or absolute neutrophil count less than 200/mm3

--Prior/Concurrent Therapy--

* See Disease Characteristics

--Patient Characteristics--

* Age: Not specified
* Performance status: Not specified
* Hematopoietic: See Disease Characteristics
* Hepatic: Not specified
* Renal: Creatinine no greater than 2.5 mg/dL
* Cardiovascular: Ejection fraction at least 40%
* Pulmonary: FVC, FEV1, or DLCO at least 50% predicted

Other:

* Not pregnant or nursing
* Negative pregnancy test
* Fertile patients must use effective contraception
* Not preterminal or moribund",https://clinicaltrials.gov/ct2/show/NCT00010387,NCT00010387,Unknown,COMPLETED,1999-03,"Anemia, Hemolytic, Autoimmune, Felty Syndrome, Purpura, Thrombocytopenic, Autoimmune Diseases","cyclophosphamide, filgrastim",Baltimore - United States,2007-08,2001-02-02,2008-09-10,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Diagnosed with MDD by a child and adolescent psychiatrist based on the DSM-IV, have a CDRS score of at least 60 or an HDRS score of at least 22 and have been suffering with depression during the current episode for at least 3 months
* Currently seeing a Johns Hopkins psychiatrist
* Excellent documentation of treatment resistance:

  * to at least 2 different antidepressant treatments, defined as resistance to a minimum of two antidepressant drug trials of adequate dose and duration in the current episode or previous episodes, adequacy being defined as a minimum level of three on the ATHF per antidepressant drug trial (those who have not completed antidepressant trials of adequate dose and duration due to intolerance to therapy may be included if they have demonstrated intolerance to three or more antidepressant medications in the current or a previous episode)
  * to at least one course of psychotherapy which did not result in significant alleviation of depressive symptoms
* No changes in medication dose or psychotherapy frequency over the previous 1 month
* Negative answers on the safety screening questionnaire for rTMS

Exclusion Criteria:

* History of substance abuse or dependence within the past six months (excluding nicotine and caffeine) or marked conduct disordered or oppositional behavior
* Any current unstable medical or surgical illness
* Bipolar Disorder
* Psychotic symptoms
* History of head injury or seizure or history of seizure in a first degree relative.
* History of any metal in the head (outside the mouth).
* Known history of any metallic particles in the eye, implanted cardiac pacemaker or any intracardiac lines, implanted neurostimulators, surgical clips or any medical pumps
* History of frequent or severe headaches or migraines
* History of hearing loss or known history of cochlear implants.
* Pregnancy or not using a reliable method of birth control.
* Participation in another clinical trial within 30 days of this study
* Inability to locate and quantify a motor threshold (MT) as defined by the rTMS protocol
* Current use of drugs known to lower seizure threshold, such as stimulants, wellbutrin, bupropion, and certain tricyclics (e.g. clomipramine and maprotiline)
* Left-handed",https://clinicaltrials.gov/ct2/show/NCT00984087,NCT00984087,JHU,WITHDRAWN,2009-10,Major Depressive Disorder,TMS with Neurostar TMS Therapy System,Baltimore - United States,2011-10,2009-09-24,2013-04-04,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Ulnar nerve laceration at the wrist, repaired primarily

Exclusion Criteria:

* Certain cancers (active or in the past)
* Uncontrolled diabetes or hypertension
* Certain pituitary problems
* Oral contraceptives
* Pregnancy
* Drug or alcohol dependence
* Psychosocial issues that would limit participation and compliance",https://clinicaltrials.gov/ct2/show/NCT03150511,NCT03150511,Unknown,RECRUITING,2018-06-01,Peripheral Nerve Injuries,Tesamorelin 2 Milligrams (MG),Baltimore - United States,2025-12,2017-05-12,2024-11-12,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* For healthy volunteers: Vision corrected to 20/25, good general health
* For retinitis pigmentosa (RP) patients: End-stage retinitis pigmentosa, recipient of an Argus II retinal prosthesis system

Exclusion Criteria:

* None",https://clinicaltrials.gov/ct2/show/NCT04319809,NCT04319809,Unknown,COMPLETED,2017-07-01,Retinitis Pigmentosa,Object recognition subsystem,Baltimore - United States,2022-08-31,2020-03-24,2024-10-15,INTERVENTIONAL,NA
"Inclusion Criteria

* Are between 18 and 65 years of age
* Report between 4 and 14 headaches over 28 days
* Have a history of migraines lasting at least 1 year
* Are not currently using opioid (""narcotic"") pain medication

Exclusion Criteria

* Are unable to undergo MRI
* Pregnant, lactating, or planning to become pregnant
* Current use of opioid medications

Inclusion Criteria for Healthy Volunteers (same exclusion criteria)

* Are between 18 and 65 years of age
* Free of any acute or chronic pain condition and reports no history of migraines",https://clinicaltrials.gov/ct2/show/NCT02133209,NCT02133209,Unknown,COMPLETED,2014-05,Migraine,"Mindfulness Based Stress Reduction, Stress Management for Headaches","Baltimore - United States, Baltimore - United States",2018-03,2014-05-07,2018-08-08,INTERVENTIONAL,NA
"Inclusion Criteria:

1. 18 years of age or older;
2. HIV infected or HIV negative and attending the Baltimore City Health Department sexually transmitted infection clinic for STI-related services
3. Consumes an average of 8 or more drinks per week OR has had two binge drinking episodes (4 drinks/occasion) in the last 3 months
4. sexually active
5. Cognitively able to understand proposed research design (10 min screening, followed by random assignment to one of three study groups (if individual fulfills criteria for RCT enrollment);
6. Able to speak and understand English
7. Able and willing to receive text messages

Exclusion Criteria:

1. Pregnant women will be excluded and referred directly to social work for referral to either alcohol or drug treatment due to ethical concerns of randomization to usual care.
2. Currently enrolled in alcohol or drug treatment.
3. Non-English Speaking.
4. Actively Psychotic or have other severe mental health symptoms that would prevent appropriate participation in the brief intervention protocol.
5. Planning on moving out of the area within 12 months of study entry",https://clinicaltrials.gov/ct2/show/NCT01125371,NCT01125371,Unknown,COMPLETED,2011-10,"Alcohol; Harmful Use, Binge Drinking, Risk Behavior, HIV Infection","Computerized brief alcohol intervention + IVR booster calls, Computerized brief alcohol intervention, Attention Control",Baltimore - United States,2016-06-07,2010-05-18,2022-06-24,INTERVENTIONAL,NA
"Inclusion Criteria:

* Primary care patients
* Able to provide informed consent

Exclusion Criteria:

* inability to comprehend spoken English
* inability to self-administer the instrument on the tablet computer due to physical limitations
* previously enrolled in the study",https://clinicaltrials.gov/ct2/show/NCT02110693,NCT02110693,CTN0059,COMPLETED,2014-03,Substance Use Disorder,Interviewer and tablet administration of the TAPS Tool,"Baltimore - United States, New York - United States, Kannapolis - United States, Richmond - United States",2015-04,2014-04-10,2018-07-26,INTERVENTIONAL,NA
"Inclusion Criteria:

1. Primary RLS (exclude all secondary RLS including those related to neuropathies and medications)
2. Adult and adolescents 18 years of age or older
3. One of the following 2 criteria must be met:

   * RLS treatment with either ropinirole or pramipexole or with a non-DA treatment (opioid or GABA active hypnotic), with the first dose each day taken at or before 4:30 PM. (Note this allows patients to be entered who had the usual tapered withdrawal from another medication with a concurrent gradual start of the DA agonist or opioid over a period of up to 12 months. In all such cases the initial evaluations must occur at least 6 weeks after discontinuing any prior drug treatment.) OR
   * Off all RLS medication treatments for at least 6 weeks AND planning on starting DA agonist or a non-DA treatment (opioid or GABA active hypnotic) as the only RLS medication treatment.

Exclusion Criteria:

1. Pregnant or lactating.
2. Inadequate birth control if female and able to become pregnant.
3. History of allergic reaction to diphenhydramine.
4. History of major psychiatric or chronic neurological disorder that would affect RLS treatment or judgment. These include but are not limited to bipolar depression, major affective disorder, schizophrenia, obsessive-compulsive disorder, and all neurodegenerative diseases.
5. History of another major sleep disorder other than RLS and insomnia: narcolepsy, significant sleep-disordered breathing (DBR\>15/hr), and circadian rhythm disorder.
6. History of use of dopamine antagonist within the last year for any reason other than treating nausea.
7. History of use of tramadol within the last 3 months.
8. Unable to give informed consent.",https://clinicaltrials.gov/ct2/show/NCT00867893,NCT00867893,Unknown,COMPLETED,2009-02,Restless Legs Syndrome,No interventions listed,Baltimore - United States,2012-07,2009-03-24,2012-08-14,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Patients referred for EUS evaluation of upper GI SETs measuring an estimated 15mm or greater in maximal diameter.
* Location of SET: esophagus, stomach, duodenum
* Age \>18 years and older
* Patient consent obtained

Exclusion Criteria:

* Endoscopically non bulging lesion
* Upper GI SETs \<15 mm in size as measured during study EUS
* Lesions not necessitating tissue acquisition: i.e. lipomas, varices
* Cystic lesion
* Patients \< 18 years of age
* Uncorrectable Coagulopathy (INR \>1,5, platelets \<100,000)
* Patients with stigmata of portal hypertension
* Patients with post-surgical UGI anatomy (Roux-en-Y gastric bypass, esophagectomy etc)
* Uncooperative patients
* Pregnant women (women of childbearing age will undergo urine pregnancy testing, which is routine for all endoscopic procedures)
* Refusal to consent form",https://clinicaltrials.gov/ct2/show/NCT02282111,NCT02282111,Unknown,TERMINATED,2014-07,Esophageal Subepithelial Lesions,"22-gauge Procore needle (ProCore, Cook Medical Inc., Winston-Salem, NC), conventional needle-knife sphincterotome (Microknife XL; Boston Scientific Inc, Natick, Mass)",Baltimore - United States,2017-11,2014-11-04,2018-10-09,INTERVENTIONAL,NA
"Inclusion Criteria:

* Have given written informed consent
* Have a high school level of education
* Have a self-reported interest in spirituality and altered states of consciousness
* Have used hallucinogens (e.g., LSD, psilocybin mushrooms, Salvia divinorum) including having used Salvia divinorum or salvinorin A by the inhalation route (i.e., volunteers without histories of Salvia divinorum or salvinorin A use by the inhalation route will be excluded)
* Be 21 to 65 years old
* Agree to consume approximately the same amount of caffeine-containing beverage (e.g., coffee, tea) that he/she consumes on a usual morning, before arriving at the research unit on the mornings of drug session days. If the volunteer does not routinely consume caffeinated beverages, he or she must agree not to do so on session days.
* Agree to refrain from using any psychoactive drugs, including alcoholic beverages, within 24 hours of each drug administration. As described elsewhere, exceptions include daily use of caffeine.
* Be healthy as determined by screening for medical problems via a personal interview, a medical questionnaire, a physical examination, an electrocarroutine medical blood and urinalysis laboratory tests.

Exclusion Criteria:

General Medical Exclusion Criteria

* Cardiovascular conditions: uncontrolled hypertension, angina, a clinically significant ECG abnormality (e.g. atrial fibrillation), TIA in the last 6 months stroke, peripheral or pulmonary vascular disease
* Epilepsy with history of seizures
* Diabetes mellitus
* Females who are pregnant (positive pregnancy test) or nursing, or are not practicing an effective means of birth control
* Currently taking psychoactive prescription medication on a regular basis
* More than 20% outside the upper or lower range of ideal body weight according to Metropolitan Life height and weight table

Psychiatric Exclusion Criteria

* Current or past history of meeting DSM-IV criteria for Schizophrenia, Psychotic Disorder (unless substance-induced or due to a medical condition), or Bipolar I or II Disorder.
* Current severe Obsessive-Compulsive Disorder, Dysthymic Disorder, or Panic Disorder.
* Current or past history within the last 5 years of meeting DSM-IV criteria for alcohol or drug dependence (excluding caffeine and nicotine) or severe major depression.
* Have a first or second degree relative with schizophrenia, psychotic disorder (unless substance induced or due to a medical condition), or bipolar I or II disorder.
* Currently meets DSM-IV criteria for Dissociative Disorder, Anorexia Nervosa, Bulimia Nervosa, or other psychiatric conditions judged to be incompatible with establishment of rapport or safe exposure to salvinorin A.",https://clinicaltrials.gov/ct2/show/NCT00996411,NCT00996411,Unknown,COMPLETED,2008-11,Healthy,Salvinorin A,"Baltimore - United States, Baltimore - United States",2013-11,2009-10-16,2014-03-24,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

1. Have the ability to understand the requirements of the study, provide written informed consent, understand and provide written authorization for the use and disclosure of Protected Health Information (PHI) \[per Health Insurance Portability and Accountability Act (HIPAA) Privacy Ruling\] and comply with the study procedures.
2. Documented history of COVID infection at least 6 - 12 months before enrollment.
3. Men and women at least 18 years old.
4. Women must have a negative serum pregnancy test and practice an acceptable method of contraception or be of non-childbearing potential (post-menopausal for at least 2 years or who have undergone hysterectomy, oophorectomy or surgical sterilization).
5. Geographic accessibility to the study center and the ability to travel to the clinic for study visits.
6. Agrees to the visit schedule as outlined in the informed consent.
7. Pre-study labs within normal range, or if abnormal, deemed not clinically significant by the site investigator.

Exclusion Criteria:

1. History of recent nosocomial infection.
2. History of chronic neurological disorder, such as epilepsy, or structural Central Nervous System (CNS) abnormality such as stroke or arteriovenous malformation.
3. History of head trauma with prolonged loss of consciousness (\>10 minutes) or any neurological condition including stroke, seizure (excluding childhood febrile seizure), or visible structural abnormality on prior MRI.
4. Active or recent (in the past year) substance dependence (drugs-including nicotine, marijuana or alcohol).
5. Receipt of any investigational drug, device or biologic within 30 days of administration of study compound.
6. Use of anti-inflammatory medications, immunosuppressants, or benzodiazepines within 7 days of administration of study compound.
7. Any concomitant medical disease or condition limiting the safety to participate including, but not limited to:

   * Coagulopathy
   * Active infection
8. Contraindications to MRI scanning to include pacemakers, metallic implants/prosthesis or prohibitive claustrophobia, etc.
9. Contraindications to PET scanning to include pregnancy, etc.
10. Any medical condition that in the opinion of the study investigators would constitute a safety risk to the subject.
11. Any radiation exposure in the past calendar year that in combination with the radiation exposure from this study would exceed 5 rem.
12. Any history of learning disability or special education (due to the potential to affect performance on neuropsychological testing).",https://clinicaltrials.gov/ct2/show/NCT06223971,NCT06223971,Unknown,RECRUITING,2024-08-06,COVID Long-Haul,"[11C]CPPC Injection, [11C]CPPC Injection",Baltimore - United States,2025-04-30,2024-01-25,2024-10-30,INTERVENTIONAL,EARLY_PHASE1
"Inclusion Criteria:

* Adults (≥18 years) presenting with neurological symptoms due to acute ischemic stroke (symptom onset within the week prior to admission).
* Evidence on brain MRI of acute ischemic stroke (imaging negative strokes and transient ischemic attacks (TIAs) will be excluded).
* Native English speaker (by self-report) prior to stroke.
* NIHSS \<8 at initial follow-up visit (approximately 30 days post-stroke).
* mRS 0-2 at initial follow-up visit.

Exclusion Criteria:

* Primary intracerebral hemorrhage- as evidenced by blood on head CT or MRI.
* Presence of proximal large vessel occlusion.
* Cortical exam findings including aphasia or neglect.
* Prior history of dementia or undertreated psychiatric illness.
* Uncorrected hearing or visual loss.
* Inability to attend weekly MBSR or Stroke Support Group sessions.
* Inability to travel to College Park (UMD) for 2 MEG recording sessions.
* Presence of any of the following that would lead to significant artifact on MEG: cardiac pacemaker, intracranial clips, metal implants or external clips within 10mm of the head, metal implants in the eyes (unlikely given that all patients will have an MRI and criteria are similar).
* Claustrophobia, obesity, and/or any other reason leading to difficulty staying in the MEG machine for up to 1 hour.",https://clinicaltrials.gov/ct2/show/NCT04302493,NCT04302493,Unknown,COMPLETED,2021-01-01,"Stroke, Stroke Sequelae, Depression, Cognitive Impairment","Mindfulness Based Stress Reduction (MBSR), Stroke Support Group (SSG)",Baltimore - United States,2023-06-01,2020-03-10,2024-12-20,INTERVENTIONAL,NA
"Inclusion Criteria:

* Age 18 and over
* Diabetes with a hemoglobin A1c\>8%
* Medicaid beneficiary
* Enrolled in Medicaid Insurance

Exclusion Criteria:

* Medical conditions that are indications for additional dietary requirements (e.g., advanced chronic kidney disease, end-stage renal disease, chronic wounds, or severe alcohol use disorder)
* Swallowing difficulties
* Food allergies
* Non-English speaking
* Language or hearing impairment
* Currently pregnant or breast feeding
* Does not have a refrigerator/freezer in the home to store meals
* Has plans to move out of the meal delivery service area in the next 12 months",https://clinicaltrials.gov/ct2/show/NCT04034511,NCT04034511,FEED,COMPLETED,2020-01-21,"Diabetes Mellitus, Type 2",Medically-tailored meal delivery and medical nutrition therapy,Baltimore - United States,2022-10-04,2019-07-26,2023-10-10,INTERVENTIONAL,NA
"Inclusion Criteria:

* Greater than or equal to 21 years of age
* Prior history of receptive anal intercourse (RAI)
* Subjects must have a history of using commercially-available personal lubricants for RAI.
* Ability to provide signed informed consent.
* Willingness to abstain from lubricant use and anal receptive intercourse for 48 hours prior to and 48 hours after Phases A and B.
* Willingness to use a single dose of rectally-applied N-9.

Exclusion Criteria:

* Mental handicap or impaired cognitive performance status as judged by the investigator.
* Coagulation abnormality which would put the subject at risk for bleeding as judged by the Principal Investigator.
* History of anorectal surgery within the last month or the presence of any anorectal disease or condition that in the judgment of the investigator could affect permeability of the rectal mucosa.
* Presence of any painful anorectal conditions or anorectal lesions that would be tender to manipulation.
* History of occupational radiation exposure.
* History of acute or chronic diarrhea defined as three or more loose stools per day.
* History of any allergic response to rectal lubricants.
* History of sleep apnea, or airway problems with previous sedation procedures.
* History of significant adverse reaction to sedation medications.",https://clinicaltrials.gov/ct2/show/NCT00389311,NCT00389311,Unknown,COMPLETED,2007-04,HIV Infections,"Normosol-R, Nonoxynol-9, Gastrointestinal instrumentation",Baltimore - United States,2008-02,2006-10-18,2015-04-01,INTERVENTIONAL,EARLY_PHASE1
"Inclusion Criteria:

* Age 18 - 75 years
* Known prior diagnosis of histologically-confirmed BE with or without dysplasia (as defined by the presence of specialized columnar epithelium anywhere in the tubular esophagus with \>= 1 cm of circumferential involvement or non-circumferential involvement of specialized columnar epithelium) \[Prague class \>1\] and history of initial complete eradication-IM following endoscopic ablation for Barrett's esophagus.
* Documentation of complete ablation of BE by endoscopy and histology after radiofrequency or cryotherapy ablation on two endoscopic examinations at least 3 months apart, within most recent endoscopy performed within 6 months. Pathologic diagnosis determined by the expert pathologist at each site.
* On PPI therapy, who opt for an intervention over lifelong drug dependence.
* Hiatal hernia ≤ 2 cm or Hill grade \< 2 \[unless patients undergoing combined TIF and hiatal hernia repair\]
* Abnormal esophageal acid exposure \[Percent esophageal acid exposure time \> 6% defined by Bravo ph monitoring (48 - 96 hours study)
* Able to provide informed consent

Exclusion Criteria:

* Age \< 18 or \> 75 years
* Inability to provide informed consent",https://clinicaltrials.gov/ct2/show/NCT04457193,NCT04457193,Unknown,ENROLLING_BY_INVITATION,2018-06-07,"Barrett Esophagus, Transoral Incisionless Fundoplication",TIF,Baltimore - United States,2027-06-07,2020-07-07,2024-06-13,OBSERVATIONAL,Not Available
